,회사명,거래소코드,회계년도,당기순이익,영업손익,매출액
0,(주)BNK금융지주,138930,2011,,,
1,(주)BNK금융지주,138930,2012,,,
2,(주)BNK금융지주,138930,2013,,,
3,(주)BNK금융지주,138930,2014,,,
4,(주)BNK금융지주,138930,2015,,,
5,(주)BNK금융지주,138930,2016,,,
6,(주)BNK금융지주,138930,2017,,,
7,(주)BNK금융지주,138930,2018,,,
8,(주)BNK금융지주,138930,2019,,,
9,(주)BNK금융지주,138930,2020,,,
10,(주)BNK금융지주,138930,2021,,,
11,(주)BNK금융지주,138930,2022,,,
12,(주)DB하이텍,990,2007,-44390904.0,-23613863.0,323893191.0
13,(주)DB하이텍,990,2008,-29226999.0,-885479.0,342924815.0
14,(주)DB하이텍,990,2009,-68269392.0,-37801233.0,234066867.0
15,(주)DB하이텍,990,2010,-18837151.0,-2929854.0,159490961.0
16,(주)DB하이텍,990,2011,-42928097.0,-17618650.0,122675586.0
17,(주)DB하이텍,990,2012,13443478.0,4419705.0,149837333.0
18,(주)DB하이텍,990,2013,-9282356.0,1463210.0,133538255.0
19,(주)DB하이텍,990,2014,-29771271.0,12285024.0,147854709.0
20,(주)DB하이텍,990,2015,31299307.0,48719884.0,188237230.0
21,(주)DB하이텍,990,2016,28941190.0,45796798.0,198216789.0
22,(주)DB하이텍,990,2017,10066729.0,33046229.0,163900331.0
23,(주)DB하이텍,990,2018,32941842.0,40627001.0,183739992.0
24,(주)DB하이텍,990,2019,44638672.0,61778363.0,222319992.0
25,(주)DB하이텍,990,2020,47042231.0,67126287.0,240646807.0
26,(주)DB하이텍,990,2021,92666035.0,118979517.0,328439858.0
27,(주)DB하이텍,990,2022,170827731.0,220356744.0,447380224.0
28,(주)JB금융지주,175330,2014,,,
29,(주)JB금융지주,175330,2015,,,
30,(주)JB금융지주,175330,2016,,,
31,(주)JB금융지주,175330,2017,,,
32,(주)JB금융지주,175330,2018,,,
33,(주)JB금융지주,175330,2019,,,
34,(주)JB금융지주,175330,2020,,,
35,(주)JB금융지주,175330,2021,,,
36,(주)JB금융지주,175330,2022,,,
37,(주)KB금융지주,105560,2009,,,
38,(주)KB금융지주,105560,2010,,,
39,(주)KB금융지주,105560,2011,,,
40,(주)KB금융지주,105560,2012,,,
41,(주)KB금융지주,105560,2013,,,
42,(주)KB금융지주,105560,2014,,,
43,(주)KB금융지주,105560,2015,,,
44,(주)KB금융지주,105560,2016,,,
45,(주)KB금융지주,105560,2017,,,
46,(주)KB금융지주,105560,2018,,,
47,(주)KB금융지주,105560,2019,,,
48,(주)KB금융지주,105560,2020,,,
49,(주)KB금융지주,105560,2021,,,
50,(주)KB금융지주,105560,2022,,,
51,(주)강원랜드,35250,2007,81948317.0,105321699.0,266862667.0
52,(주)강원랜드,35250,2008,96536991.0,123891245.0,304234775.0
53,(주)강원랜드,35250,2009,124480546.0,139764370.0,306907114.0
54,(주)강원랜드,35250,2010,129617534.0,170273605.0,352446404.0
55,(주)강원랜드,35250,2011,104265596.0,134005113.0,327059960.0
56,(주)강원랜드,35250,2012,81755481.0,105808146.0,332619509.0
57,(주)강원랜드,35250,2013,104590487.0,135239578.0,374365519.0
58,(주)강원랜드,35250,2014,105465901.0,132754618.0,393980364.0
59,(주)강원랜드,35250,2015,118968700.0,157870649.0,413499667.0
60,(주)강원랜드,35250,2016,124337999.0,161651823.0,438114761.0
61,(주)강원랜드,35250,2017,119007003.0,137640766.0,395068781.0
62,(주)강원랜드,35250,2018,93267754.0,123928790.0,369078541.0
63,(주)강원랜드,35250,2019,128645332.0,139212794.0,405532407.0
64,(주)강원랜드,35250,2020,-40856773.0,-64878089.0,76617362.0
65,(주)강원랜드,35250,2021,20414373.0,24270667.0,245246239.0
66,(주)강원랜드,35250,2022,74695917.0,118716039.0,397573066.0
67,(주)녹십자,6280,2007,17004829.0,19399209.0,123691359.0
68,(주)녹십자,6280,2008,9858887.0,20250928.0,140724274.0
69,(주)녹십자,6280,2009,15311460.0,20794147.0,159018914.0
70,(주)녹십자,6280,2010,29431627.0,34423254.0,191965266.0
71,(주)녹십자,6280,2011,33772567.0,46180480.0,233891672.0
72,(주)녹십자,6280,2012,32712257.0,44197467.0,240933579.0
73,(주)녹십자,6280,2013,33940572.0,44419016.0,260372132.0
74,(주)녹십자,6280,2014,45773650.0,51588587.0,282400344.0
75,(주)녹십자,6280,2015,57931816.0,48186105.0,295014980.0
76,(주)녹십자,6280,2016,22927075.0,34586222.0,327578484.0
77,(주)녹십자,6280,2017,28436961.0,41968096.0,356058721.0
78,(주)녹십자,6280,2018,15829031.0,27995432.0,352300469.0
79,(주)녹십자,6280,2019,22425444.0,36557551.0,369691298.0
80,(주)녹십자,6280,2020,63414363.0,50742091.0,419580652.0
81,(주)녹십자,6280,2021,58106984.0,71509237.0,465708419.0
82,(주)녹십자,6280,2022,42420149.0,48751685.0,459667545.0
83,(주)녹십자홀딩스,5250,2007,2634938.0,11215899.0,15836193.0
84,(주)녹십자홀딩스,5250,2008,194075.0,1181085.0,11573342.0
85,(주)녹십자홀딩스,5250,2009,6256089.0,6526253.0,14238670.0
86,(주)녹십자홀딩스,5250,2010,17539608.0,21663359.0,25079286.0
87,(주)녹십자홀딩스,5250,2011,25887053.0,40682177.0,504179161.0
88,(주)녹십자홀딩스,5250,2012,32294314.0,46518340.0,250581211.0
89,(주)녹십자홀딩스,5250,2013,34695403.0,47155256.0,270684562.0
90,(주)녹십자홀딩스,5250,2014,51596071.0,55837994.0,294783645.0
91,(주)녹십자홀딩스,5250,2015,59453340.0,52601708.0,307854181.0
92,(주)녹십자홀딩스,5250,2016,20457749.0,36283184.0,355415885.0
93,(주)녹십자홀딩스,5250,2017,29057981.0,47298606.0,401566702.0
94,(주)녹십자홀딩스,5250,2018,6768313.0,28433069.0,398008920.0
95,(주)녹십자홀딩스,5250,2019,15379422.0,36112333.0,411890084.0
96,(주)녹십자홀딩스,5250,2020,51068775.0,69111205.0,434969354.0
97,(주)녹십자홀딩스,5250,2021,51926079.0,76726133.0,530858155.0
98,(주)녹십자홀딩스,5250,2022,23762779.0,44936364.0,553695672.0
99,(주)농심,4370,2007,24322608.0,26406944.0,396015762.0
100,(주)농심,4370,2008,4610881.0,8369219.0,423927305.0
101,(주)농심,4370,2009,34544001.0,24862588.0,466896901.0
102,(주)농심,4370,2010,24777219.0,14524769.0,457237481.0
103,(주)농심,4370,2011,19470007.0,27659932.0,482031126.0
104,(주)농심,4370,2012,31162795.0,34688646.0,500674515.0
105,(주)농심,4370,2013,23090956.0,17162137.0,507813684.0
106,(주)농심,4370,2014,15134573.0,15313574.0,488088786.0
107,(주)농심,4370,2015,29216464.0,37530247.0,545977236.0
108,(주)농심,4370,2016,23100977.0,22760490.0,547724339.0
109,(주)농심,4370,2017,29043712.0,31331219.0,571679660.0
110,(주)농심,4370,2018,19545424.0,21718305.0,566031530.0
111,(주)농심,4370,2019,16122929.0,18567080.0,589888811.0
112,(주)농심,4370,2020,29538661.0,29318064.0,651477844.0
113,(주)농심,4370,2021,25321552.0,29115917.0,672995295.0
114,(주)농심,4370,2022,28285387.0,27300257.0,813007871.0
115,(주)대우건설,47040,2007,141122417.0,161338346.0,1465718168.0
116,(주)대우건설,47040,2008,124310488.0,97630660.0,1545050087.0
117,(주)대우건설,47040,2009,16267551.0,53554364.0,1758910628.0
118,(주)대우건설,47040,2010,-283983800.0,-130267339.0,1482703654.0
119,(주)대우건설,47040,2011,7719182.0,89386531.0,1527221957.0
120,(주)대우건설,47040,2012,40646839.0,69452620.0,2234696562.0
121,(주)대우건설,47040,2013,46337427.0,104223255.0,2019634558.0
122,(주)대우건설,47040,2014,-1677480.0,93808999.0,2606308853.0
123,(주)대우건설,47040,2015,20723370.0,120033285.0,2565345273.0
124,(주)대우건설,47040,2016,42907907.0,97649833.0,2817732668.0
125,(주)대우건설,47040,2017,89243946.0,113621969.0,3098039754.0
126,(주)대우건설,47040,2018,67683191.0,191468610.0,2728502574.0
127,(주)대우건설,47040,2019,47500275.0,118999742.0,2080855480.0
128,(주)대우건설,47040,2020,55981336.0,102919955.0,1896270053.0
129,(주)대우건설,47040,2021,89426525.0,112287623.0,2100121747.0
130,(주)대우건설,47040,2022,174349778.0,205489685.0,2520510829.0
131,(주)대웅,3090,2012,2390565.0,2596311.0,10705329.0
132,(주)대웅,3090,2013,24865152.0,31305527.0,215011116.0
133,(주)대웅,3090,2014,-1724254.0,20527847.0,228638312.0
134,(주)대웅,3090,2015,13199998.0,18557443.0,262201144.0
135,(주)대웅,3090,2016,10525635.0,17466525.0,256494473.0
136,(주)대웅,3090,2017,21037878.0,26221622.0,294080823.0
137,(주)대웅,3090,2018,17452560.0,23839759.0,308767739.0
138,(주)대웅,3090,2019,16660586.0,21273760.0,334371182.0
139,(주)대웅,3090,2020,17094801.0,27082718.0,353143603.0
