회사명,거래소코드,회계년도,거래월(*),종가,자산(*)(IFRS),부채(*)(IFRS),당기순이익(손실)(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS),매출액(수익)(*)(IFRS),비유동자산(*)(IFRS),매출총이익(손실)(IFRS),법인세비용(IFRS),이자비용(IFRS),감가상각비(IFRS),유동자산(*)(IFRS),유동부채(*)(IFRS),현금및현금성자산(*)(IFRS)
(주)BNK금융지주,138930,2013/12,12,16000,,,,,,,,,,,,,
(주)BNK금융지주,138930,2014/12,12,14500,,,,,,,,,,,,,
(주)BNK금융지주,138930,2015/12,12,8420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2016/12,12,8680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2017/12,12,9420,,,,,,,,,,,,,
(주)BNK금융지주,138930,2018/12,12,7330,,,,,,,,,,,,,
(주)BNK금융지주,138930,2019/12,12,7660,,,,,,,,,,,,,
(주)BNK금융지주,138930,2020/12,12,5680,,,,,,,,,,,,,
(주)BNK금융지주,138930,2021/12,12,8400,,,,,,,,,,,,,
(주)BNK금융지주,138930,2022/12,12,6500,,,,,,,,,,,,,
(주)DB하이텍,000990,2013/12,12,7530,1049494642,852207175,-73243309,28528798,493752028,827177708,89251311,656349,0,1400000,222316934,476710357,34683939
(주)DB하이텍,000990,2014/12,12,4615,1001959816,865855755,-58319918,47362460,567718224,755653097,136904849,-8414157,0,831000,246306720,376149526,39292223
(주)DB하이텍,000990,2015/12,12,14300,1005673854,728010902,127469869,150510354,666594987,671628729,229679471,-13552576,0,854000,334045125,242109386,104789976
(주)DB하이텍,000990,2016/12,12,15900,1006370876,641920423,88002359,247018873,773140180,642244024,290010241,-2868455,0,788000,364126852,271946015,110782463
(주)DB하이텍,000990,2017/12,12,12000,977575054,536028245,74401732,182244045,679737744,629067093,253567151,-4830926,0,850000,348507961,143100665,102087610
(주)DB하이텍,000990,2018/12,12,10850,1050696487,508139265,95087399,182780278,669279136,670598161,215336382,9285232,0,1082000,380098326,156793407,118765482
(주)DB하이텍,000990,2019/12,12,27600,1089400761,444095557,121159865,160796839,807416423,666869595,294123786,39328428,0,1887000,422531166,219572033,84227309
(주)DB하이텍,000990,2020/12,12,51000,1179256936,384020119,165657642,310467238,935919766,723614020,358884823,43629661,0,1701000,455642916,261727435,47731454
(주)DB하이텍,000990,2021/12,12,72700,1548223597,442262644,316919978,391303244,1214682040,738979333,535196604,103547897,0,1935000,809244264,335133908,181799441
(주)DB하이텍,000990,2022/12,12,37150,2120023184,482709689,558546974,728512079,1675287534,798775254,933217769,188735744,0,2710000,1321247930,404168015,148514126
(주)JB금융지주,175330,2013/12,12,6360,,,,,,,,,,,,,
(주)JB금융지주,175330,2014/12,12,6090,,,,,,,,,,,,,
(주)JB금융지주,175330,2015/12,12,5500,,,,,,,,,,,,,
(주)JB금융지주,175330,2016/12,12,5780,,,,,,,,,,,,,
(주)JB금융지주,175330,2017/12,12,6070,,,,,,,,,,,,,
(주)JB금융지주,175330,2018/12,12,5700,,,,,,,,,,,,,
(주)JB금융지주,175330,2019/12,12,5490,,,,,,,,,,,,,
(주)JB금융지주,175330,2020/12,12,5640,,,,,,,,,,,,,
(주)JB금융지주,175330,2021/12,12,8350,,,,,,,,,,,,,
(주)JB금융지주,175330,2022/12,12,7890,,,,,,,,,,,,,
(주)KB금융지주,105560,2013/12,12,42250,,,,,,,,,,,,,
(주)KB금융지주,105560,2014/12,12,36150,,,,,,,,,,,,,
(주)KB금융지주,105560,2015/12,12,33150,,,,,,,,,,,,,
(주)KB금융지주,105560,2016/12,12,42800,,,,,,,,,,,,,
(주)KB금융지주,105560,2017/12,12,63400,,,,,,,,,,,,,
(주)KB금융지주,105560,2018/12,12,46500,,,,,,,,,,,,,
(주)KB금융지주,105560,2019/12,12,47650,,,,,,,,,,,,,
(주)KB금융지주,105560,2020/12,12,43400,,,,,,,,,,,,,
(주)KB금융지주,105560,2021/12,12,55000,,,,,,,,,,,,,
(주)KB금융지주,105560,2022/12,12,48500,,,,,,,,,,,,,
(주)강원랜드,035250,2013/12,12,30950,3105430200,581467261,293129468,432139763,1356906162,2072451015,638619346,96216786,0,12080522,1032979185,568327002,129278198
(주)강원랜드,035250,2014/12,12,30400,3380461682,664286664,363815729,516728788,1492291312,2030859812,778967609,136586390,0,10192924,1349601870,619817290,93386077
(주)강원랜드,035250,2015/12,12,38400,3688060027,690617690,430459518,581804341,1630976696,1951892034,876224689,152254279,0,10514478,1736167993,662837030,103417087
(주)강원랜드,035250,2016/12,12,35750,3975979890,723241827,454998593,600686651,1694575212,2176953027,912471487,142326882,0,10998064,1799026863,717426075,91359339
(주)강원랜드,035250,2017/12,12,34800,4182527382,681737727,437096330,465968987,1602901764,2026772811,817770349,128653718,0,12123828,2155754572,680591144,103274379
(주)강원랜드,035250,2018/12,12,32000,4229630541,643178007,297320114,366067885,1436042435,2480137529,708856764,113451001,0,12572474,1749493012,635168405,47367942
(주)강원랜드,035250,2019/12,12,29600,4436461953,718028952,335609508,408994810,1517612252,2568096396,783249250,154271032,0,15633396,1868365557,650507914,59132599
(주)강원랜드,035250,2020/12,12,23500,3635973900,391229925,-278763195,-657703238,477474858,2149881540,-66893957,-128621634,0,16486301,1486092360,328578630,64500002
(주)강원랜드,035250,2021/12,12,24050,3817618525,568331445,-11910505,215114775,787377362,2174589160,60615174,-4627825,0,17179175,1643029365,505405272,203292337
(주)강원랜드,035250,2022/12,12,23200,4157624144,745844802,115887555,419875334,1269418094,2964055113,348692142,52141435,0,16192041,1193569031,686105001,99686649
(주)녹십자,006280,2013/12,12,124500,1040802954,217568486,68451075,23956630,793754169,541348912,253162157,17941880,0,2021000,499454042,171293853,25089588
(주)녹십자,006280,2014/12,12,137000,1232228382,364496150,60660754,53353499,854258393,626435358,284093573,22965259,0,2243000,605793024,300984648,30530575
(주)녹십자,006280,2015/12,12,183000,1323117870,361134611,110601286,60913849,912910940,648749556,309572397,35029383,0,2451000,674368314,267346820,54432371
(주)녹십자,006280,2016/12,12,157000,1422757264,440710069,62902751,-13246848,1033113771,723130495,305518740,13447098,0,2309000,699626769,263602436,54527660
(주)녹십자,006280,2017/12,12,226000,1575759046,543139869,54766059,46441288,1098478748,751718776,314273836,13267588,0,2001000,824040270,220710066,126717935
(주)녹십자,006280,2018/12,12,136000,1580579529,524279230,47932741,12215513,1141422783,797227858,292563458,12194031,0,2079000,783351671,260850381,59919031
(주)녹십자,006280,2019/12,12,132500,1742374171,693076559,11840904,42703292,1146093542,945230846,309668860,3647236,0,3152000,797143326,341251023,50075693
(주)녹십자,006280,2020/12,12,406000,1862558929,762376913,53297023,48966925,1227760622,910202862,358453640,13333210,0,3303000,952356067,506203140,178696414
(주)녹십자,006280,2021/12,12,218000,1925626161,700175863,141400531,117703259,1170305442,1098642269,399106502,26528337,0,3638000,826983893,368979528,105708590
(주)녹십자,006280,2022/12,12,129500,1943161484,692777309,54307547,82575739,1244928840,1184401582,410244717,2500132,0,3422000,758759901,357265374,27976280
(주)녹십자홀딩스,005250,2013/12,12,12450,766055042,198999818,16195004,-15233225,34467648,758843843,34467648,3968236,0,1062000,7211199,90624446,262764
(주)녹십자홀딩스,005250,2014/12,12,20900,722616440,161600407,19640775,5134136,36775636,600525324,36775636,4940274,0,1212000,122091116,89233060,1181989
(주)녹십자홀딩스,005250,2015/12,12,41950,829703432,272259947,17801560,-36377156,47791895,653415573,47791895,4184134,0,1233000,176287858,159766359,2340290
(주)녹십자홀딩스,005250,2016/12,12,23800,846282314,276541565,26794034,55425299,98335182,701193131,98335182,7163461,0,1219000,145089182,154725833,8361744
(주)녹십자홀딩스,005250,2017/12,12,39250,958660032,370092827,20576338,61226404,115366471,822748896,115366471,4011168,0,1251000,135911137,254071957,46336625
(주)녹십자홀딩스,005250,2018/12,12,25100,993043941,409702058,19510510,59735500,140083966,889248134,140083966,3548401,0,1776000,103795807,305504923,65990575
(주)녹십자홀딩스,005250,2019/12,12,22250,928991658,332990951,28053008,34191330,63553295,910320635,63553295,8431220,0,3570000,18671023,221841119,606306
(주)녹십자홀딩스,005250,2020/12,12,41500,1080663927,449852233,50375737,46977995,78784539,957138927,78784539,17480020,0,3627000,123525000,383126676,91853047
(주)녹십자홀딩스,005250,2021/12,12,27150,1066673355,412648590,35663003,35383454,73934407,1007962837,73934407,3185242,0,3388000,58710518,218888329,42318933
(주)녹십자홀딩스,005250,2022/12,12,17000,1082659486,430533765,16119638,11476283,66770118,1061514113,66770118,-13447518,0,4079000,21145373,214990175,2467527
(주)농심,004370,2013/12,12,251000,2129920031,622729607,92612241,151175206,1870807165,1340851829,513351473,30179709,0,22727288,789068202,522988397,73884933
(주)농심,004370,2014/12,12,252500,2116774394,575214042,68061676,81314619,1801320197,1384538486,496699218,32292190,0,22167661,732235908,483876312,41457187
(주)농심,004370,2015/12,12,439500,2257471088,628004901,115183233,186426507,1878665375,1418376951,547713764,33142317,0,21688040,839094138,541129187,125384247
(주)농심,004370,2016/12,12,332500,2330097985,538493591,194243948,209519752,1862187459,1460456264,543598313,27278261,0,21536933,869641721,463490438,117753081
(주)농심,004370,2017/12,12,354000,2317377704,470201853,80387196,83178233,1855364121,1526767646,570209072,25988022,0,21728778,790610058,410759017,86593448
(주)농심,004370,2018/12,12,254500,2406700249,512348966,75665004,105931161,1857814054,1529020100,495812314,24511874,0,21879322,877680149,456700513,98050906
(주)농심,004370,2019/12,12,240500,2496940454,580555380,56271705,133040489,1905694049,1746046480,496610123,25505013,0,30158620,750893974,516795186,111712511
(주)농심,004370,2020/12,12,300000,2494167664,511527290,92786550,183667171,2105700159,1792259360,559318090,30156110,0,33546564,701908304,444662503,93937357
(주)농심,004370,2021/12,12,318500,2544772941,509753377,71120815,138295967,2102582223,1795909784,549342699,24029235,0,34118197,748863158,445146157,9024656
(주)농심,004370,2022/12,12,357000,2687384597,579151848,77166011,127355576,2395960802,1811301036,585977372,23162891,0,31466976,876083561,510262042,18976472
(주)대우건설,047040,2013/12,12,7370,9721382818,7099822942,-743608176,-620701049,8417075007,3019119923,298095810,-127568854,0,4666000,6702262896,4453538759,324046180
(주)대우건설,047040,2014/12,12,5890,9889839840,7240620620,107279926,360211345,9853092238,3054845140,721337632,48429283,0,3266000,6834994700,4104209482,229677043
(주)대우건설,047040,2015/12,12,5600,9650768538,6866196593,146232049,710182199,9877475175,3189397115,688005097,29082845,0,3154000,6461371423,4458114581,384009488
(주)대우건설,047040,2016/12,12,5080,9367312840,7353420397,-762005959,226394723,10964615696,3518131116,69935185,-240007375,0,2501000,5849181724,6081130613,747225371
(주)대우건설,047040,2017/12,12,5920,8247700980,6032583783,222793964,163820384,11332055896,3454978065,730486102,46781794,0,1769000,4792722915,4984844721,377818181
